trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
136,0,136,0,262.0358135,263.0355983,263.0355983,-2,up,0,0.6152423,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
137,0,137,0,263.6689354,264.6694448,264.6694448,-1,up,0,0.5423335,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
138,0,138,0,265.2355625,266.2353868,266.2353868,0,up,1,0.5449985,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
139,0,139,0,266.8021314,267.8028255,267.8028255,0,up,1,0.5379248,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
140,0,140,0,268.3688779,269.3692461,269.3692461,-4,down,1,0.7040586,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
141,0,141,0,270.1019629,271.1022887,271.1022887,-5,down,1,0.6458923,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
142,0,142,0,271.7688111,272.7685367,272.7685367,0,up,1,0.7263096,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
143,0,143,0,273.5186625,274.5190828,274.5190828,0,up,1,0.7123745,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
144,0,144,0,275.2518897,276.2524252,276.2524252,0,up,1,0.6818262,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
145,0,145,0,276.9517514,277.9524447,277.9524447,2,down,1,0.7218915,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
146,0,146,0,278.7014857,279.7021362,279.7021362,3,down,1,0.702428,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
147,0,147,0,280.4350531,281.4350948,281.4350948,0,up,1,3.4900827,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
148,0,148,0,284.9511702,285.9514219,285.9514219,0,up,1,0.7084209,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
149,0,149,0,286.6848079,287.6848139,287.6848139,4,down,1,0.7572878,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
150,0,150,0,288.4677514,289.468164,289.468164,-2,down,1,0.9074858,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
151,0,151,0,290.4010807,291.4017474,291.4017474,0,up,1,0.7982672,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
152,0,152,0,292.2174423,293.2179571,293.2179571,0,up,1,0.6490223,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
153,0,153,0,293.8841838,294.8839307,294.8839307,1,up,0,0.5941639,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
154,0,154,0,295.5008722,296.5007467,296.5007467,0,up,0,0.6406128,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
155,0,155,0,297.1672206,298.1677046,298.1677046,-4,down,1,0.6553197,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
156,0,156,0,298.8505899,299.8510593,299.8510593,-5,down,1,0.5222704,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
157,0,157,0,300.4003959,301.4011489,301.4011489,0,up,0,0.7256081,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
158,0,158,0,302.1505406,303.1507817,303.1507817,-4,down,1,0.629404,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
159,0,159,0,303.8000389,304.8008693,304.8008693,-1,up,0,0.7417567,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
160,0,160,0,305.5674004,306.567699,306.567699,-1,up,0,0.5809258,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
161,0,161,0,307.1667499,308.1672943,308.1672943,-3,down,1,0.6985085,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
162,0,162,0,308.8835261,309.8839088,309.8839088,1,down,1,0.7794824,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
163,0,163,0,310.6832018,311.6838797,311.6838797,0,up,0,0.6847588,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
164,0,164,0,312.4000719,313.4007433,313.4007433,0,up,0,0.6592063,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
165,0,165,0,314.0828482,315.083482,315.083482,0,up,1,0.5377843,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
166,0,166,0,315.6496499,316.6503109,316.6503109,0,up,1,0.7993191,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
167,0,167,0,317.4663479,318.4669381,318.4669381,3,down,1,0.7097415,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
168,0,168,0,319.1997681,320.1999222,320.1999222,0,up,1,0.9212735,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
169,0,169,0,321.1498089,322.1492148,322.1492148,0,up,0,0.6527131,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
170,0,170,0,322.8324865,323.8327457,323.8327457,0,up,1,0.5801133,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
171,0,171,0,324.4326477,325.4327301,325.4327301,-5,down,1,0.5854401,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
172,0,172,0,326.049418,327.0499579,327.0499579,0,up,1,0.8621223,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
173,0,173,0,327.9323902,328.9329713,328.9329713,0,up,1,0.6591582,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
174,0,174,0,329.6154986,330.6159777,330.6159777,-3,up,0,0.5389845,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
175,0,175,0,331.1823561,332.1827344,332.1827344,2,down,1,0.588051,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
176,0,176,0,332.7992255,333.7993544,333.7993544,3,down,1,0.6681378,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
177,0,177,0,334.4990866,335.4991801,335.4991801,-3,down,1,0.7695151,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
178,0,178,0,336.2986685,337.2991795,337.2991795,0,up,1,0.7687209,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
179,0,179,0,338.098794,339.09898,339.09898,-4,down,1,1.1494535,None,final2,1,2023-09-08_11h38.30.375,orientationdiscrimination,2023.1.3,59.94973816
